OrderNumber,OrderDate,CurrencyCode,_SalesAM_ID,_CustomerID,_SiteID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000101,5/31/2018,RWF,6,15,259,12,5,0.075,"1,963.10","1,001.18"
SO - 000102,5/31/2018,RWF,14,20,196,27,3,0.075,"3,939.60","3,348.66"
SO - 000103,5/31/2018,RWF,21,16,213,16,1,0.05,"1,775.50",781.22
SO - 000104,5/31/2018,RWF,28,48,107,23,8,0.075,"2,324.90","1,464.69"
SO - 000105,5/31/2018,RWF,22,49,111,26,8,0.1,"1,822.40","1,476.14"
SO - 000106,5/31/2018,RWF,12,21,285,1,5,0.05,"1,038.50",446.56
SO - 000107,5/31/2018,RWF,10,14,6,5,4,0.15,"1,192.60",536.67
SO - 000108,5/31/2018,RWF,6,9,280,46,5,0.05,"1,815.70","1,525.19"
SO - 000109,6/1/2018,RWF,4,9,299,47,4,0.3,"3,879.30","2,211.20"
SO - 000110,6/1/2018,RWF,10,33,261,13,8,0.05,"1,956.40","1,212.97"
SO - 000111,6/1/2018,RWF,23,21,17,38,6,0.1,201.00,124.62
SO - 000112,6/1/2018,RWF,10,21,152,40,5,0.15,"6,277.90","2,762.28"
SO - 000113,6/1/2018,RWF,4,36,317,39,5,0.05,"1,051.90",641.66
SO - 000114,6/1/2018,RWF,8,17,291,32,6,0.15,254.60,216.41
SO - 000115,6/1/2018,RWF,9,32,138,6,6,0.15,"3,932.90","3,146.32"
SO - 000116,6/1/2018,RWF,5,11,354,25,3,0.05,"1,112.20",700.69
SO - 000117,6/1/2018,RWF,9,10,320,6,3,0.075,"1,239.50",904.84
SO - 000118,6/1/2018,RWF,8,30,21,3,4,0.1,984.90,393.96
SO - 000119,6/1/2018,RWF,5,5,349,20,4,0.1,"5,581.10","4,130.01"
SO - 000120,6/1/2018,RWF,14,23,134,24,4,0.05,"3,095.40","1,795.33"
SO - 000121,6/1/2018,RWF,25,46,193,33,4,0.4,"2,278.00","1,754.06"
SO - 000122,6/2/2018,RWF,2,14,282,1,7,0.075,991.60,654.46
SO - 000123,6/2/2018,RWF,7,40,20,35,2,0.2,"3,979.80","3,064.45"
SO - 000124,6/2/2018,RWF,24,19,218,15,3,0.4,"1,969.80",866.71
SO - 000125,6/2/2018,RWF,4,15,173,13,1,0.15,268.00,131.32
SO - 000126,6/2/2018,RWF,18,46,110,24,7,0.1,174.20,95.81
SO - 000127,6/2/2018,RWF,7,32,229,46,3,0.075,"2,988.20","2,510.09"
SO - 000128,6/2/2018,RWF,9,32,238,36,4,0.05,"3,999.90","2,679.93"
SO - 000129,6/2/2018,RWF,20,22,97,37,3,0.05,"5,976.40","2,450.32"
SO - 000130,6/2/2018,RWF,8,5,103,32,5,0.1,"2,901.10","2,378.90"
SO - 000131,6/3/2018,RWF,8,29,305,23,7,0.075,"6,076.90","2,734.61"
SO - 000132,6/3/2018,RWF,13,35,303,14,7,0.2,"5,735.20","4,186.70"
SO - 000133,6/3/2018,RWF,19,46,217,7,3,0.1,"3,919.50","2,077.34"
SO - 000134,6/3/2018,RWF,17,42,362,46,1,0.05,"6,083.60","3,832.67"
SO - 000135,6/3/2018,RWF,26,2,335,40,5,0.075,"2,566.10","1,642.30"
SO - 000136,6/3/2018,RWF,22,28,84,38,2,0.075,"2,278.00","1,093.44"
SO - 000137,6/3/2018,RWF,7,46,256,1,1,0.075,261.30,120.20
SO - 000138,6/3/2018,RWF,12,22,360,17,8,0.05,998.30,698.81
